0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:59 +0900] "GET /TestWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:59 +0900] "GET /TestWeb/ HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:31 +0900] "GET /TestWeb/user/mypage.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:31 +0900] "GET /TestWeb/user/login.jsp HTTP/1.1" 200 3342
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:31 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:31 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:31 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:31 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:39 +0900] "POST /TestWeb/user/login_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:39 +0900] "GET /TestWeb/user/mypage.jsp HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:39 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:39 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:39 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:42 +0900] "GET /TestWeb/user/mypage.jsp HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:42 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:42 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:42 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:43 +0900] "GET /TestWeb/user/mypage.jsp HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:43 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:43 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:43 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
